ISO,Country,01-08-2020,01-09-2020,01-10-2020,01-11-2020,01-12-2020,01-01-2021
AUS,Australia,-0.7362,1.2980,1.0068,0.2718,0.3615,-0.4502
AUT,Austria,-0.0226,0.3613,-0.5175,-0.4524,0.4431,-0.1244
BEL,Belgium,-0.2629,0.5535,-0.0786,0.1049,0.7337,-0.1171
CAN,Canada,-0.2316,0.2888,-0.5250,0.0000,0.6527,0.2707
CHL,Chile,0.5364,0.1327,0.4224,-0.0465,0.0372,-0.0443
COL,Colombia,0.4365,0.2262,0.1782,0.2965,0.1892,
CZE,Czech Republic,-0.2088,-0.0209,-0.7954,-0.2426,0.6451,-0.2627
DNK,Denmark,-0.2416,0.0997,0.1281,-0.3127,0.5560,-0.0425
EST,Estonia,0.0605,0.1210,0.0777,-0.8799,0.3568,-0.0173
FIN,Finland,-0.4060,-0.0709,-0.0887,0.3906,-0.1591,0.6022
FRA,France,0.0157,0.2349,-0.3906,-0.7059,1.0585,-0.5159
DEU,Germany,0.2174,0.0241,-0.1446,-0.2534,0.1331,-0.4229
GRC,Greece,-0.0157,-0.3136,-0.2360,-0.1472,0.1895,0.0788
HUN,Hungary,0.1573,-0.0302,-0.1812,0.0182,-0.1755,0.0606
IRL,Ireland,-0.0612,-0.0136,0.0272,0.4422,0.3251,-0.4456
ISR,Israel,0.9241,-0.1230,-0.5518,1.3082,0.5713,
ITA,Italy,0.1307,0.1435,-0.4039,-0.3271,0.5119,0.0522
JPN,Japan,-0.0406,0.6909,0.1816,0.0201,-0.3827,-0.4448
KOR,Korea,0.2951,0.0000,0.0000,-0.0736,0.0736,0.2207
LVA,Latvia,0.4673,-0.3423,0.2906,-0.4215,-0.2822,0.1680
LTU,Lithuania,0.0571,0.2474,0.1614,-0.4928,0.1238,0.0000
LUX,Luxembourg,-0.5886,0.7771,0.2570,-0.9339,0.7209,0.0918
MEX,Mexico,0.1935,0.3629,0.3462,-0.1540,0.3352,
NLD,Netherlands,0.0299,0.0996,-0.2885,0.4590,0.4172,0.0791
NZL,New Zealand,-0.0683,-0.0683,0.3549,0.3537,0.3524,
POL,Poland,-0.1125,-0.5758,0.0881,-0.4403,0.3285,-0.1259
PRT,Portugal,0.1162,-0.1989,0.1080,-0.2903,0.3161,0.0746
SVK,Slovak Republic,0.3121,-0.0097,-0.2917,0.0488,0.0877,-0.3895
SVN,Slovenia,0.5640,-0.1246,-0.5989,-0.5147,0.2271,-0.1637
ESP,Spain,-0.3213,0.2496,-0.0415,-0.2387,0.6137,-0.0620
SWE,Sweden,0.1851,0.4157,0.0920,-0.5055,0.6004,0.2066
CHE,Switzerland,0.6280,-0.0247,-0.0248,-0.0248,,
TUR,Turkey,-0.3192,0.2871,-0.0110,-0.1982,0.0000,0.3531
GBR,United Kingdom,0.0000,-0.1534,-0.2955,-0.2608,0.7608,-0.3303
USA,United States,0.1341,0.5272,0.1165,-0.4074,0.3172,-0.1248
OTO,OECD,0.0588,0.3399,0.0128,-0.2518,0.3134,-0.1480
BRA,Brazil,0.1233,0.2814,-0.0877,-0.0614,-0.2811,-0.2378
CHN,China,-0.1216,0.6242,0.1816,0.3473,,
CRI,Costa Rica,-0.4666,0.3671,0.3658,0.3645,,
IDN,Indonesia,0.0435,-0.2172,-0.2666,0.8015,0.2732,
RUS,Russian Federation,0.3559,-0.1773,-0.1776,-0.1780,,
ZAF,South Africa,0.3046,0.3037,0.3331,0.3320,0.3309,